,err_prob,n_checks,Encoded blocks, source block size, encoded block size,Decoded blocks,valid blocks,Average iterations, bit changes %, Decoding time (milli-seconds),Block counts tot, with chk errs, with src errs, both,Bit error rate (on message bits only),1-BLER,shannon,real_key,eff_key
0,0.02,100,444.0,900.0,1000.0,444.0,2.0,249.0,0.0,7.619,444.0,442.0,442.0,442.0,0.01991,0.0045045045045045045,0.14144054254182067,0.7585594574581793,0.0034169344930548616
1,0.02,125,457.0,875.0,1000.0,457.0,13.0,243.1,0.0,7.605,457.0,444.0,444.0,444.0,0.01934,0.028446389496717725,0.14144054254182067,0.7335594574581793,0.020867118045856305
2,0.02,150,470.0,850.0,1000.0,470.0,76.0,211.1,1.0,7.985,470.0,394.0,395.0,394.0,0.01611,0.16170212765957448,0.14144054254182067,0.7085594574581793,0.11457557184430134
3,0.02,175,484.0,825.0,1000.0,484.0,228.0,137.8,1.0,0.134,484.0,256.0,256.0,256.0,0.009765,0.47107438016528924,0.14144054254182067,0.6835594574581794,0.32200734772823325
4,0.02,200,500.0,800.0,1000.0,500.0,382.0,65.4,1.0,0.251,500.0,118.0,118.0,118.0,0.004322,0.764,0.14144054254182067,0.6585594574581792,0.5031394254980489
5,0.02,225,516.0,775.0,1000.0,516.0,497.0,15.5,2.0,0.174,516.0,19.0,20.0,19.0,0.0006927,0.9631782945736435,0.14144054254182067,0.6335594574581793,0.610230717745572
6,0.02,250,533.0,750.0,1000.0,533.0,533.0,4.4,1.0,0.134,533.0,0.0,0.0,0.0,0.0,1.0,0.14144054254182067,0.6085594574581793,0.6085594574581793
7,0.02,275,551.0,725.0,1000.0,551.0,551.0,3.4,1.0,0.143,551.0,0.0,0.0,0.0,0.0,1.0,0.14144054254182067,0.5835594574581793,0.5835594574581793
8,0.02,300,571.0,700.0,1000.0,571.0,571.0,2.9,1.0,0.077,571.0,0.0,0.0,0.0,0.0,1.0,0.14144054254182067,0.5585594574581794,0.5585594574581794
9,0.02,325,592.0,675.0,1000.0,592.0,592.0,2.6,1.0,0.076,592.0,0.0,0.0,0.0,0.0,1.0,0.14144054254182067,0.5335594574581792,0.5335594574581792
10,0.02,350,615.0,650.0,1000.0,615.0,615.0,2.3,1.0,0.104,615.0,0.0,0.0,0.0,0.0,1.0,0.14144054254182067,0.5085594574581793,0.5085594574581793
11,0.02,375,640.0,625.0,1000.0,640.0,640.0,2.1,1.0,0.043,640.0,0.0,0.0,0.0,0.0,1.0,0.14144054254182067,0.4835594574581793,0.4835594574581793
12,0.02,400,666.0,600.0,1000.0,666.0,666.0,1.9,1.0,0.071,666.0,0.0,0.0,0.0,0.0,1.0,0.14144054254182067,0.4585594574581793,0.4585594574581793
